"id","postcode","place_name","state_name","state_code","latitude","longitude"
8820,"4216",SOUTH STRADBROKE,ARUNDEL DC,QLD,-27.8419991,153.425003
8821,"4217",BENOWA,BUNDALL DC,QLD,-28.0049992,153.386993
8822,"4217",BUNDALL,BUNDALL DC,QLD,-28.0039997,153.406006
8823,"4217",CHEVRON ISLAND,BUNDALL DC,QLD,-27.9969997,153.417999
8824,"4217",ISLE OF CAPRI,BUNDALL DC,QLD,-28.0100002,153.421005
8825,"4217",MAIN BEACH,BUNDALL DC,QLD,-27.9790001,153.423996
8826,"4217",SURFERS PARADISE,BUNDALL DC,QLD,-2.79999995,153.431
8827,"4218",BROADBEACH,ROBINA DC,QLD,-28.0289993,1.53400004
8828,"4218",BROADBEACH WATERS,ROBINA DC,QLD,-28.0240002,15.3409996
8829,"4218",MERMAID BEACH,ROBINA DC,QLD,-28.0450001,153.434998
8830,"4218",MERMAID WATERS,ROBINA DC,QLD,-28.0470009,153.408005
8831,"4218",NOBBY BEACH,ROBINA DC,QLD,-28.0580006,153.438004
8832,"4218",PACIFIC FAIR,ROBINA DC,QLD,-28.0359993,153.427994
8833,"4218",Q SUPERCENTRE,ROBINA DC,QLD,-28.0450001,153.406998
8834,"4219",WEST BURLEIGH,BURLEIGH DC,QLD,-28.1070004,153.440994
8835,"4220",BURLEIGH HEADS,BURLEIGH DC,QLD,-28.0879993,153.451004
8836,"4220",BURLEIGH TOWN,BURLEIGH DC,QLD,-28.0970001,153.440994
8837,"4220",BURLEIGH WATERS,BURLEIGH DC,QLD,-28.0949993,15.342
8838,"4220",MIAMI,BURLEIGH DC,QLD,-28.0739994,153.444
8839,"4221",ELANORA,CURRUMBIN DELIVERY CENTRE,QLD,-28.1350002,153.470001
8840,"4221",PALM BEACH,CURRUMBIN DELIVERY CENTRE,QLD,-28.1200008,153.472
8841,"4223",CURRUMBIN,CURRUMBIN DELIVERY CENTRE,QLD,-28.1359997,153.477005
8842,"4223",CURRUMBIN VALLEY,CURRUMBIN DELIVERY CENTRE,QLD,-28.1879997,153.419998
8843,"4223",CURRUMBIN WATERS,CURRUMBIN DELIVERY CENTRE,QLD,-28.1380005,153.472
8844,"4224",TUGUN,CURRUMBIN DELIVERY CENTRE,QLD,-28.1429996,153.494003
8845,"4224",TUGUN HEIGHTS,CURRUMBIN DELIVERY CENTRE,QLD,-28.1499996,153.481995
8846,"4225",BILINGA,CURRUMBIN DELIVERY CENTRE,QLD,-28.1590004,153.509995
8847,"4225",COOLANGATTA,CURRUMBIN DELIVERY CENTRE,QLD,-28.1679993,153.535004
8848,"4226",CLEAR ISLAND WATERS,ROBINA DC,QLD,-28.0389996,153.401001
